tournum tourtype week period day shiftlength startwin
58 2 4 46 3 16 44
58 2 1 46 4 16 44
58 2 2 47 3 16 44
59 2 1 45 4 16 44
59 2 4 45 5 16 44
59 2 4 46 2 16 44
59 2 3 46 4 16 44
59 2 3 46 5 16 44
59 2 2 46 6 16 44
59 2 1 47 2 16 44
59 2 2 47 2 16 44
59 2 2 47 3 16 44
59 2 4 47 4 16 44
60 2 4 44 3 16 44
60 2 2 44 6 16 44
60 2 3 44 6 16 44
60 2 4 45 4 16 44
60 2 1 46 2 16 44
60 2 1 46 3 16 44
60 2 4 47 2 16 44
60 2 2 47 3 16 44
60 2 3 47 3 16 44
60 2 2 47 5 16 44
61 2 2 45 5 16 45
61 2 3 45 6 16 45
61 2 2 46 2 16 45
61 2 1 46 3 16 45
61 2 3 47 2 16 45
61 2 1 47 5 16 45
61 2 2 48 3 16 45
61 2 4 48 4 16 45
61 2 4 48 5 16 45
61 2 4 48 6 16 45
